course_number,launch_month,launch_day,course_title,instructors,course_subject,year,honor_code_certificates,participants,audited,certified,percent_played_video,percent_posted_forum,percent_grade_higher_than_zero,total_course_hours_per_1000,median_hours_for_certification,median_age,percent_male,percent_female,percent_bachelor_degree_or_higher,2012,2013,2014,2015,2016
11.132x,1,27,Design and Development of Educational Technology,"Eric Klopfer, Scot Osterweil, Judy Perry","Humanities, History, Design, Religion, and Education",4,0,8405,2152,160,59.88,0,17.13,28.24,31.36,32,59.5,40.5,83.34,NA,NA,NA,NA,MITx
21W.789x,2,1,Mobile Application Experiences: From a Domain to an App Idea,"Frank Bentley, Ed Barrett",Computer Science,4,0,16407,3058,23,62.13,5.18,9.72,27.77,22.17,28,80.16,19.84,68.29,NA,NA,NA,NA,MITx
6.041x,2,2,Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jaillet, Aliaa Atwi, Dimitri Bertsekas, Qing He, Jimmy Li, Jagdish Ramakrishnan, Katie Szeto, Kuang Xu","Science, Technology, Engineering, and Mathematics",4,0,17354,1830,136,67.28,3.09,12.22,269.33,212.83,27,83.52,16.48,72.77,NA,NA,NA,NA,MITx
16.110x,2,9,Flight Vehicle Aerodynamics,"Mark Drela, Alejandra Uranga","Science, Technology, Engineering, and Mathematics",4,1,9788,257,58,40.32,1.2,2.05,28.77,160.04,22,89.61,10.39,54.22,NA,NA,NA,NA,MITx
CTL.SC1x,2,10,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",4,1,18686,4844,2471,80.21,20.05,33.93,674.4,158,29,77.2,22.8,84.06,NA,NA,NA,NA,MITx
PH525.5x,2,15,Data Analysis for Genomics: Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays,Rafael Irizarry,"Government, Health, and Social Science",4,1,1409,645,120,48.12,3.34,8.52,5.99,21.84,29,68.36,31.64,89,NA,NA,NA,NA,HarvardX
EMC2x,2,16,The Einstein Revolution,Peter Galison,"Humanities, History, Design, Religion, and Education",4,0,5571,425,9,69.22,6.46,13.95,20.91,86.81,27,68.66,31.34,62.59,NA,NA,NA,NA,HarvardX
12.340x,2,16,Global Warming Science,"Kerry Emanuel, Dan Cziczo, David McGee","Science, Technology, Engineering, and Mathematics",4,0,3842,745,51,57.63,5.36,18.69,25.06,101.75,26,65.37,34.63,67.98,NA,NA,NA,NA,MITx
8.05.1x,2,17,Mastering Quantum Mechanics: Wave Mechanics,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",4,0,8936,1270,55,73.06,5.14,14.67,72.3,111.02,25,86.78,13.22,61.23,NA,NA,NA,NA,MITx
14.73x,2,22,The Challenges of Global Poverty,"Esther Duflo, Abhijit Vinayak Banerjee","Government, Health, and Social Science",4,1,4250,494,296,64.96,6.59,22.45,45.06,85.52,27,54.14,45.86,78.42,NA,NA,NA,NA,MITx
SW25x,2,23,Global Health Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker","Government, Health, and Social Science",4,1,4050,691,472,58.47,15.36,33.06,28.87,37.03,27,40.9,59.1,76.79,NA,NA,NA,NA,HarvardX
21W.789.2x,2,29,Mobile Application Experiences: Mobile App Design,"Frank Bentley, Ed Barrett",Computer Science,4,0,4522,1324,27,54.49,1.81,10.37,5.8,13.11,27,75.3,24.7,72.03,NA,NA,NA,NA,MITx
HDS3221.1x,3,1,"World Religions Through their Scriptures: Religious Literacy, Traditions and Scriptures",Diane Moore,"Humanities, History, Design, Religion, and Education",4,0,22153,4897,282,77.24,34.35,1.28,79.36,26.43,39,36.96,63.04,78.46,NA,NA,NA,NA,HarvardX
6.00.2x,3,2,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag, Ana Bell",Computer Science,4,0,14003,2182,513,64.74,5.99,22.88,144.07,73.23,26,85.3,14.7,72.2,NA,NA,NA,NA,MITx
